tanggal,arena_id,view,quote,reply,participant,posting,expression,polling,bookmark,survey,quis,score
2017-07-28,2,0,0,0,1,2,0,0,0,0,0,3
2017-07-28,14,0,3,12,9,52,33,0,3,0,0,112
2017-07-28,18,0,2,3,11,31,24,0,4,0,0,75
2017-07-29,14,0,0,0,3,3,0,0,0,0,0,6
2017-07-29,18,0,0,0,5,7,2,0,2,0,0,16
2017-07-31,20,0,0,0,2,202,0,0,0,0,0,204
2017-07-31,12,0,0,0,4,4,2,0,0,0,0,10
2017-07-31,14,0,0,0,3,9,0,0,0,0,0,12
2017-07-31,18,0,0,2,10,182,1,0,0,0,0,195
2017-08-01,8,0,0,0,1,1,0,0,0,0,0,2
2017-08-01,18,0,0,0,2,4,0,0,0,0,0,6
2017-08-01,6,0,0,0,1,6,0,0,0,0,0,7
2017-08-01,11,0,0,0,1,1,0,0,0,0,0,2
2017-08-02,8,0,0,0,1,1,0,0,0,0,0,2
2017-08-02,18,0,0,0,2,4,0,0,0,0,0,6
2017-08-03,18,0,0,1,4,156,0,0,0,0,0,161
2017-08-04,14,0,0,0,1,1,0,0,0,0,0,2
2017-08-04,18,0,0,0,6,139,0,0,0,0,0,145
2017-08-05,11,0,0,0,1,1,0,0,0,0,0,2
2017-08-05,18,0,0,1,2,9,0,0,0,0,0,12
2017-08-07,18,0,0,0,1,1,0,0,0,0,0,2
2017-08-11,21,0,0,3,11,47,24,21,1,0,0,107
2017-08-12,21,0,0,0,1,1,0,0,0,0,0,2
2017-08-14,12,0,0,0,1,2,0,0,0,0,0,3
2017-08-14,14,0,0,0,1,1,0,0,0,0,0,2
2017-08-14,18,0,0,0,1,4,0,0,0,0,0,5
2017-08-14,20,0,0,0,2,649,0,0,0,0,0,651
2017-08-15,23,0,0,0,8,21,11,11,1,0,0,52
2017-08-15,21,0,0,0,1,1,0,0,0,0,0,2
2017-08-15,14,0,0,0,1,1,0,0,0,0,0,2
2017-08-16,23,0,0,0,1,1,0,0,0,0,0,2
2017-08-17,6,0,0,0,1,1,0,0,0,0,0,2
2017-08-18,6,0,0,0,1,1,0,0,0,0,0,2
2017-08-18,18,0,0,0,1,2,0,0,0,0,0,3
2017-08-18,20,0,0,0,2,7,1,0,0,0,0,10
2017-08-21,12,0,0,3,6,54,1,0,0,0,0,64
2017-08-21,18,0,0,0,6,21,0,0,1,0,0,28
2017-08-24,12,0,0,2,4,5,4,0,0,0,0,15
2017-08-24,14,0,0,1,1,2,0,0,0,0,0,4
2017-08-24,18,0,0,0,1,1,0,0,0,0,0,2
2017-08-24,23,0,0,0,1,1,0,0,0,0,0,2
2017-08-24,29,0,3,14,5,56,26,1,3,0,0,108
2017-08-25,29,0,0,0,3,5,0,0,0,0,0,8
2017-08-25,18,0,0,0,1,2,0,0,0,0,0,3
2017-08-25,14,0,0,1,1,3,0,0,0,0,0,5
2017-08-26,29,0,0,0,1,2,0,0,0,0,0,3
2017-08-27,29,0,0,0,1,2,0,0,0,0,0,3
2017-08-28,18,0,0,0,1,1,0,0,0,0,0,2
2017-08-28,29,0,2,0,3,28,6,2,0,0,0,41
2017-08-29,29,0,0,0,2,4,0,0,0,0,0,6
2017-08-29,35,0,0,0,1,1,0,0,0,0,0,2
2017-08-30,29,0,0,0,2,3,0,0,0,0,0,5
2017-08-30,35,0,0,0,2,4,3,0,0,0,0,9
2017-08-31,29,0,0,0,1,2,0,0,0,0,0,3
2017-08-31,35,0,0,0,2,4,0,0,0,0,0,6
2017-09-01,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-01,35,0,0,0,1,1,0,0,0,0,0,2
2017-09-02,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-03,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-04,35,0,0,0,1,1,0,0,0,0,0,2
2017-09-04,29,0,0,0,3,5,0,0,0,0,0,8
2017-09-05,23,0,0,0,1,12,0,0,0,0,0,13
2017-09-05,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-06,12,0,0,0,1,2,0,0,0,0,0,3
2017-09-06,18,0,0,0,1,1,0,0,0,0,0,2
2017-09-06,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-07,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-08,29,0,0,0,2,4,0,0,0,0,0,6
2017-09-09,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-10,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-11,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-12,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-13,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-13,42,0,0,0,1,1,0,0,0,0,0,2
2017-09-13,44,0,0,0,1,1,0,0,0,0,0,2
2017-09-14,29,0,0,0,1,3,0,0,0,0,0,4
2017-09-15,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-15,45,0,0,0,2,23,0,0,0,0,0,25
2017-09-16,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-17,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-18,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-19,29,0,0,0,1,2,0,0,0,0,0,3
2017-09-20,29,0,1,0,1,6,1,0,0,0,0,9
2017-09-21,29,0,0,0,1,15,0,0,0,0,0,16
