tanggal,arena_id,view,quote,reply,participant,posting,expression,polling,bookmark,survey,quis,score
2017-07-28 12:00:00,2,0,0,0,1,2,0,0,0,0,0,3
2017-07-28 12:00:00,14,0,3,12,10,51,33,0,3,0,0,112
2017-07-28 12:00:00,18,0,2,3,12,30,24,0,4,0,0,75
2017-07-28 18:00:00,14,0,0,0,1,1,0,0,0,0,0,2
2017-07-28 18:00:00,18,0,0,0,1,1,0,0,0,0,0,2
2017-07-29 06:00:00,18,0,0,0,1,1,0,0,0,0,0,2
2017-07-29 12:00:00,14,0,0,0,3,3,0,0,0,0,0,6
2017-07-29 12:00:00,18,0,0,0,5,6,2,0,2,0,0,15
2017-07-31 06:00:00,14,0,0,0,1,1,0,0,0,0,0,2
2017-07-31 06:00:00,18,0,0,2,4,7,0,0,0,0,0,13
2017-07-31 12:00:00,12,0,0,0,3,3,2,0,0,0,0,8
2017-07-31 12:00:00,14,0,0,0,3,8,0,0,0,0,0,11
2017-07-31 12:00:00,18,0,0,0,17,175,1,0,0,0,0,193
2017-07-31 12:00:00,20,0,0,0,2,202,0,0,0,0,0,204
2017-07-31 18:00:00,12,0,0,0,1,1,0,0,0,0,0,2
2017-08-01 12:00:00,6,0,0,0,1,6,0,0,0,0,0,7
2017-08-01 12:00:00,8,0,0,0,1,1,0,0,0,0,0,2
2017-08-01 12:00:00,11,0,0,0,1,1,0,0,0,0,0,2
2017-08-01 18:00:00,18,0,0,0,2,4,0,0,0,0,0,6
2017-08-02 00:00:00,8,0,0,0,1,1,0,0,0,0,0,2
2017-08-02 18:00:00,18,0,0,0,2,4,0,0,0,0,0,6
2017-08-03 12:00:00,18,0,0,1,4,156,0,0,0,0,0,161
2017-08-04 12:00:00,14,0,0,0,1,1,0,0,0,0,0,2
2017-08-04 12:00:00,18,0,0,0,8,139,0,0,0,0,0,147
2017-08-05 00:00:00,18,0,0,1,2,9,0,0,0,0,0,12
2017-08-05 12:00:00,11,0,0,0,1,1,0,0,0,0,0,2
2017-08-07 06:00:00,18,0,0,0,1,1,0,0,0,0,0,2
2017-08-11 12:00:00,21,0,0,3,15,45,22,18,1,0,0,104
2017-08-11 18:00:00,21,0,0,0,1,2,2,3,0,0,0,8
2017-08-12 00:00:00,21,0,0,0,1,1,0,0,0,0,0,2
2017-08-14 06:00:00,18,0,0,0,1,2,0,0,0,0,0,3
2017-08-14 06:00:00,20,0,0,0,2,203,0,0,0,0,0,205
2017-08-14 12:00:00,12,0,0,0,1,1,0,0,0,0,0,2
2017-08-14 12:00:00,14,0,0,0,1,1,0,0,0,0,0,2
2017-08-14 12:00:00,18,0,0,0,1,2,0,0,0,0,0,3
2017-08-14 18:00:00,12,0,0,0,1,1,0,0,0,0,0,2
2017-08-14 18:00:00,20,0,0,0,4,446,0,0,0,0,0,450
2017-08-15 06:00:00,14,0,0,0,1,1,0,0,0,0,0,2
2017-08-15 12:00:00,21,0,0,0,1,1,0,0,0,0,0,2
2017-08-15 12:00:00,23,0,0,0,10,21,11,11,1,0,0,54
2017-08-16 00:00:00,23,0,0,0,1,1,0,0,0,0,0,2
2017-08-17 12:00:00,6,0,0,0,1,1,0,0,0,0,0,2
2017-08-18 00:00:00,6,0,0,0,1,1,0,0,0,0,0,2
2017-08-18 12:00:00,18,0,0,0,1,2,0,0,0,0,0,3
2017-08-18 12:00:00,20,0,0,0,2,7,1,0,0,0,0,10
2017-08-21 06:00:00,12,0,0,0,1,8,0,0,0,0,0,9
2017-08-21 12:00:00,12,0,0,3,13,46,1,0,0,0,0,63
2017-08-21 12:00:00,18,0,0,0,6,21,0,0,1,0,0,28
2017-08-24 12:00:00,12,0,0,2,4,5,4,0,0,0,0,15
2017-08-24 12:00:00,14,0,0,1,1,2,0,0,0,0,0,4
2017-08-24 12:00:00,18,0,0,0,1,1,0,0,0,0,0,2
2017-08-24 12:00:00,23,0,0,0,1,1,0,0,0,0,0,2
2017-08-24 12:00:00,29,0,2,14,5,48,24,0,2,0,0,95
2017-08-24 18:00:00,29,0,1,0,2,8,2,1,1,0,0,15
2017-08-25 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-25 06:00:00,14,0,0,1,1,3,0,0,0,0,0,5
2017-08-25 06:00:00,18,0,0,0,1,2,0,0,0,0,0,3
2017-08-25 06:00:00,29,0,0,0,2,3,0,0,0,0,0,5
2017-08-25 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-26 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-26 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-27 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-27 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-28 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-28 12:00:00,18,0,0,0,1,1,0,0,0,0,0,2
2017-08-28 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-28 18:00:00,29,0,2,0,5,26,6,2,0,0,0,41
2017-08-29 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-29 12:00:00,29,0,0,0,2,3,0,0,0,0,0,5
2017-08-29 18:00:00,35,0,0,0,1,1,0,0,0,0,0,2
2017-08-30 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-30 12:00:00,29,0,0,0,2,2,0,0,0,0,0,4
2017-08-30 12:00:00,35,0,0,0,2,4,3,0,0,0,0,9
2017-08-31 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-31 12:00:00,29,0,0,0,1,1,0,0,0,0,0,2
2017-08-31 12:00:00,35,0,0,0,1,3,0,0,0,0,0,4
2017-08-31 18:00:00,35,0,0,0,1,1,0,0,0,0,0,2
2017-09-01 00:00:00,29,0,0,0,1,1,0,0,0,0,0,2
