visitor,channel_id,created_date
1,6211,2020-03-19
1,6211,2020-03-17
1,6211,2020-03-16
1,6211,2020-03-13
1,6211,2020-03-11
1,6172,2020-03-11
1,6172,2020-03-10
1,6172,2020-03-09
1,6172,2020-03-05
1,6159,2020-03-05
1,6159,2020-03-04
1,6159,2020-03-03
1,6157,2020-03-03
1,6157,2020-03-02
2,6156,2020-03-19
2,6156,2020-03-13
1,6156,2020-03-11
1,6156,2020-03-09
1,6156,2020-03-06
2,6156,2020-03-04
3,6156,2020-03-03
5,6156,2020-03-02
1,6148,2020-03-02
2,6147,2020-03-10
2,6147,2020-03-05
1,6147,2020-03-04
1,6147,2020-03-03
3,6147,2020-03-02
3,6088,2020-03-03
1,6088,2020-03-02
2,6066,2020-03-19
2,6066,2020-03-17
3,6066,2020-03-16
2,6066,2020-03-13
2,6066,2020-03-11
2,6066,2020-03-10
2,6066,2020-03-09
2,6066,2020-03-05
2,6066,2020-03-04
2,6066,2020-03-03
2,6066,2020-03-02
1,6039,2020-03-17
1,6039,2020-03-04
2,6039,2020-03-03
1,5916,2020-03-11
1,5890,2020-03-19
2,5881,2020-03-10
1,5823,2020-03-19
1,5814,2020-03-19
26,5814,2020-03-18
2,5814,2020-03-17
2,5814,2020-03-12
38,5814,2020-03-11
4,5814,2020-03-10
3,5814,2020-03-09
1,5814,2020-03-07
3,5814,2020-03-06
6,5814,2020-03-05
60,5814,2020-03-04
6,5814,2020-03-03
1,5814,2020-03-02
1,5814,2020-03-01
3,5787,2020-03-19
1,5787,2020-03-16
1,5787,2020-03-13
1,5787,2020-03-12
1,5787,2020-03-11
2,5787,2020-03-09
2,5787,2020-03-05
1,5787,2020-03-04
2,5787,2020-03-02
1,5748,2020-03-05
2,5737,2020-03-04
1,5736,2020-03-12
1,5736,2020-03-05
1,5700,2020-03-05
1,5697,2020-03-05
1,5685,2020-03-05
1,5656,2020-03-05
1,5647,2020-03-15
1,5643,2020-03-12
1,5643,2020-03-06
1,5643,2020-03-04
2,5632,2020-03-18
1,5632,2020-03-11
1,5632,2020-03-06
3,5632,2020-03-05
2,5632,2020-03-04
2,5632,2020-03-03
1,5619,2020-03-05
1,5611,2020-03-19
1,5611,2020-03-16
1,5611,2020-03-12
1,5611,2020-03-10
3,5611,2020-03-04
3,5611,2020-03-03
1,5607,2020-03-03
1,5554,2020-03-10
2,5539,2020-03-10
1,5512,2020-03-08
1,5509,2020-03-19
1,5509,2020-03-11
1,5509,2020-03-05
35,5503,2020-03-19
1,5503,2020-03-17
1,5503,2020-03-16
2,5503,2020-03-13
27,5503,2020-03-12
2,5503,2020-03-11
1,5503,2020-03-10
2,5503,2020-03-09
3,5503,2020-03-06
37,5503,2020-03-05
2,5503,2020-03-04
1,5503,2020-03-03
1,5500,2020-03-16
1,5500,2020-03-11
1,5500,2020-03-05
1,5485,2020-03-07
1,5469,2020-03-10
7,5455,2020-03-19
5,5455,2020-03-17
5,5455,2020-03-16
7,5455,2020-03-13
7,5455,2020-03-11
5,5455,2020-03-10
4,5455,2020-03-09
6,5455,2020-03-05
5,5455,2020-03-04
5,5455,2020-03-03
6,5455,2020-03-02
3,5434,2020-03-19
3,5434,2020-03-17
3,5434,2020-03-16
1,5434,2020-03-14
3,5434,2020-03-13
4,5434,2020-03-11
3,5434,2020-03-10
3,5434,2020-03-09
3,5434,2020-03-05
3,5434,2020-03-04
3,5434,2020-03-03
3,5434,2020-03-02
4,5433,2020-03-19
2,5433,2020-03-17
4,5433,2020-03-16
2,5433,2020-03-13
3,5433,2020-03-11
3,5433,2020-03-10
2,5433,2020-03-09
2,5433,2020-03-05
2,5433,2020-03-04
3,5433,2020-03-03
3,5433,2020-03-02
1,5412,2020-03-03
1,5395,2020-03-19
1,5368,2020-03-04
1,5305,2020-03-10
2,5305,2020-03-09
1,5280,2020-03-05
1,5272,2020-03-04
1,5272,2020-03-03
1,5260,2020-03-11
1,5260,2020-03-06
1,5229,2020-03-06
1,5224,2020-03-19
1,502,2020-03-19
1,501,2020-03-05
1,475,2020-03-09
1,475,2020-03-05
1,442,2020-03-05
1,429,2020-03-10
1,425,2020-03-19
4,425,2020-03-17
24,425,2020-03-16
3,425,2020-03-11
2,425,2020-03-10
29,425,2020-03-09
1,425,2020-03-04
3,425,2020-03-03
25,425,2020-03-02
1,420,2020-03-17
1,420,2020-03-13
1,420,2020-03-10
2,420,2020-03-05
1,420,2020-03-04
1,420,2020-03-03
1,419,2020-03-19
1,419,2020-03-10
1,418,2020-03-19
1,418,2020-03-18
1,418,2020-03-17
1,418,2020-03-13
1,418,2020-03-12
32,418,2020-03-11
1,418,2020-03-10
28,418,2020-03-04
1,417,2020-03-03
1,401,2020-03-11
2,401,2020-03-05
5,347,2020-03-19
6,347,2020-03-18
38,347,2020-03-17
4,347,2020-03-16
1,347,2020-03-13
7,347,2020-03-11
43,347,2020-03-10
4,347,2020-03-09
1,347,2020-03-07
5,347,2020-03-06
5,347,2020-03-05
6,347,2020-03-04
49,347,2020-03-03
1,347,2020-03-02
2,96,2020-03-18
